Rendering_Microseconds, Num_Moxels, Rate
3831.000000, 100, 26102.845210
1001.000000, 100, 99900.099900
1088.000000, 100, 91911.764706
698.000000, 100, 143266.475645
681.000000, 100, 146842.878120
679.000000, 100, 147275.405007
679.000000, 100, 147275.405007
1419.000000, 100, 70472.163495
669.000000, 100, 149476.831091
601.000000, 100, 166389.351082
675.000000, 100, 148148.148148
673.000000, 100, 148588.410104
673.000000, 100, 148588.410104
672.000000, 100, 148809.523810
679.000000, 100, 147275.405007
710.000000, 100, 140845.070423
698.000000, 100, 143266.475645
681.000000, 100, 146842.878120
680.000000, 100, 147058.823529
679.000000, 100, 147275.405007
743.000000, 100, 134589.502019
681.000000, 100, 146842.878120
682.000000, 100, 146627.565982
677.000000, 100, 147710.487445
670.000000, 100, 149253.731343
679.000000, 100, 147275.405007
674.000000, 100, 148367.952522
683.000000, 100, 146412.884334
670.000000, 100, 149253.731343
667.000000, 100, 149925.037481
589.000000, 100, 169779.286927
603.000000, 100, 165837.479270
602.000000, 100, 166112.956811
683.000000, 100, 146412.884334
620.000000, 100, 161290.322581
677.000000, 100, 147710.487445
605.000000, 100, 165289.256198
679.000000, 100, 147275.405007
680.000000, 100, 147058.823529
676.000000, 100, 147928.994083
665.000000, 100, 150375.939850
667.000000, 100, 149925.037481
667.000000, 100, 149925.037481
667.000000, 100, 149925.037481
669.000000, 100, 149476.831091
668.000000, 100, 149700.598802
668.000000, 100, 149700.598802
667.000000, 100, 149925.037481
660.000000, 100, 151515.151515
631.000000, 100, 158478.605388
677.000000, 100, 147710.487445
671.000000, 100, 149031.296572
671.000000, 100, 149031.296572
628.000000, 100, 159235.668790
663.000000, 100, 150829.562594
668.000000, 100, 149700.598802
636.000000, 100, 157232.704403
669.000000, 100, 149476.831091
681.000000, 100, 146842.878120
670.000000, 100, 149253.731343
679.000000, 100, 147275.405007
679.000000, 100, 147275.405007
689.000000, 100, 145137.880987
595.000000, 100, 168067.226891
671.000000, 100, 149031.296572
671.000000, 100, 149031.296572
689.000000, 100, 145137.880987
698.000000, 100, 143266.475645
694.000000, 100, 144092.219020
697.000000, 100, 143472.022956
678.000000, 100, 147492.625369
612.000000, 100, 163398.692810
671.000000, 100, 149031.296572
679.000000, 100, 147275.405007
678.000000, 100, 147492.625369
1770.000000, 100, 56497.175141
680.000000, 100, 147058.823529
641.000000, 100, 156006.240250
604.000000, 100, 165562.913907
667.000000, 100, 149925.037481
759.000000, 100, 131752.305665
672.000000, 100, 148809.523810
666.000000, 100, 150150.150150
675.000000, 100, 148148.148148
679.000000, 100, 147275.405007
674.000000, 100, 148367.952522
631.000000, 100, 158478.605388
846.000000, 100, 118203.309693
678.000000, 100, 147492.625369
676.000000, 100, 147928.994083
672.000000, 100, 148809.523810
669.000000, 100, 149476.831091
663.000000, 100, 150829.562594
678.000000, 100, 147492.625369
674.000000, 100, 148367.952522
672.000000, 100, 148809.523810
